RowNumber,Country,Region - Broad,Region - Specific,Data_Protection_Law,Data_Protection_Law_Source,DPA_Independence,DPA_Independence_Source,Children_Data_Safeguards,Children_Data_Safeguards_Source,COP_Strategy,COP_Strategy_Source,SOGI_Sensitive_Data,SOGI_Sensitive_Data_Source,LGBTQ_Legal_Status,LGBTQ_Legal_Status_Source,Promotion_Propaganda_Offences,Promotion_Propaganda_Offences_Source,AI_Policy_Status,AI_Policy_Status_Source,DPIA_Required_High_Risk_AI,DPIA_Required_High_Risk_AI_Source,SIM_Biometric_ID_Linkage,SIM_Biometric_ID_Linkage_Source,DP,DI,CD,CS,SD,LS,PO,AI,HR,ID,protection_index,Risk_index,region_norm,RowNumber.1,OLD_MAX,OLD_MIN,OLD_MAX - OLD_MIN,NEW_MAX,NEW_MIN,NEW_MAX-NEW_MIN
32,Cameroon,Africa,ECCAS,"In force — Law No. 2010/012 on Cybersecurity and Cybercrime (2010), includes data protection provisions","UNCTAD Data Protection Tracker, accessed 2026-01-25",Weak (no independent DPA; MINPOSTEL oversees data issues),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/cameroon/,No,https://www.unicef.org/cameroon/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (Penal Code criminalises same-sex conduct),https://www.humandignitytrust.org/country-profile/cameroon/; https://ilga.org/ilga-world-maps/,Yes (restrictions in law),https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://en.unesco.org/artificial-intelligence/observatory/policies?country=CM; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,32,,,,,,
34,Central African Republic,Africa,ECCAS,"In force (Law No. 18.007 on Protection of Personal Data, 2018)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (Data Protection Authority ANPDP established),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/central-african-republic/,No,https://www.unicef.org/central-african-republic/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Legal (same-sex relations not criminalised; no recognition),https://www.humandignitytrust.org/country-profile/central-african-republic/; https://ilga.org/ilga-world-maps/,No/Annulled,https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://en.unesco.org/artificial-intelligence/observatory/policies?country=CF; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,34,,,,,,
35,Chad,Africa,ECCAS,In force (Law No. 007/PR/2015 on Protection of Personal Data),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (ANPDP created as authority),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/chad/,No,https://www.unicef.org/chad/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (same-sex relations criminalised in Penal Code 2017),https://www.humandignitytrust.org/country-profile/chad/; https://ilga.org/ilga-world-maps/,Yes (anti-LGBT provisions),https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://en.unesco.org/artificial-intelligence/observatory/policies?country=TD; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (biometric SIM registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,35,,,,,,
40,Congo (Republic of the),Africa,ECCAS,In force (Law No. 29-2019 on Protection of Personal Data),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (CNIL established as data protection authority),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection laws; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/congo-republic-of-the/,No,https://www.unicef.org/congo-republic-of-the/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised (Penal Code criminalises same-sex acts),https://www.humandignitytrust.org/country-profile/congo-republic-of-the/; https://ilga.org/ilga-world-maps/,Yes (morality law restrictions),https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (biometric SIM registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,40,,,,,,
56,Equatorial Guinea,Africa,ECCAS,,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,None (no authority),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/equatorial-guinea/,No,https://www.unicef.org/equatorial-guinea/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised,https://www.humandignitytrust.org/country-profile/equatorial-guinea/; https://ilga.org/ilga-world-maps/,Yes (morality provisions),https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=GQ; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,,,,,,,,,,,,,,56,,,,,,
64,Gabon,Africa,ECCAS,"In force — Law No. 001/2011 on Personal Data Protection (2011), CNPDCP regulator","UNCTAD Data Protection Tracker, accessed 2026-01-25","Moderate (CNPDCP exists, limited independence)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (general child protections; no COP framework),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/gabon/,No,https://www.unicef.org/gabon/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,"Decriminalised — 2019 recriminalisation repealed 2020, no formal recognition","ILGA World Maps, accessed 2026-01-25",No,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=GA; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory SIM registration with ID),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,64,,,,,,
151,Sao Tome and Principe,Africa,ECCAS,,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/sao-tome-and-principe/,No,https://www.unicef.org/sao-tome-and-principe/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,"Legal — decriminalised 2012, no recognition",https://www.humandignitytrust.org/country-profile/sao-tome-and-principe/; https://ilga.org/ilga-world-maps/,No,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=ST; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes,https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/,,,,,,,,,,,,,,151,,,,,,
20,Benin,Africa,ECOWAS,"In force — Law No. 2009-09 on Personal Data Protection (2009), APDP regulator active","UNCTAD Data Protection Tracker, accessed 2026-01-25",Moderate (APDP operational),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Code; no national COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/benin/,No,https://www.unicef.org/benin/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Legal (no criminalisation; no recognition),https://www.humandignitytrust.org/country-profile/benin/; https://ilga.org/ilga-world-maps/,No/Annulled,https://ilga.org/ilga-world-maps/,"Draft/Early — AI policy referenced in Digital Strategy 2021, no formal AI strategy adopted","UNESCO AI Policy Observatory, accessed 2026-01-25",No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (SIM biometric registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,20,,,,,,
28,Burkina Faso,Africa,ECOWAS,In force (Law No. 001-2021/AN on Personal Data Protection),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (CIL created as independent authority),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child Protection Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/burkina-faso/,No,https://www.unicef.org/burkina-faso/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Legal (same-sex relations not criminalised; no recognition),https://www.humandignitytrust.org/country-profile/burkina-faso/; https://ilga.org/ilga-world-maps/,No/Annulled,https://ilga.org/ilga-world-maps/,None (no AI strategy identified),https://en.unesco.org/artificial-intelligence/observatory/policies?country=BF; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (SIM biometric registration mandatory),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,28,,,,,,
30,Cabo Verde,Africa,ECOWAS,"In force — Law No. 133/V/2001 on Personal Data Protection (2001, amended 2013, updated 2021)","UNCTAD Data Protection Tracker, accessed 2026-01-25",Moderate (CNPD created as authority),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (Child and Adolescent Code; no COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/cabo-verde/,No,https://www.unicef.org/cabo-verde/,No (not explicitly in law),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,"Legal — decriminalised 2004, anti-discrimination protections added 2008, no marriage recognition","ILGA World Maps, accessed 2026-01-25",No/Annulled,https://ilga.org/ilga-world-maps/,Draft/Early (AI elements in Digital Strategy 2021–2030),https://en.unesco.org/artificial-intelligence/observatory/policies?country=CV; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (SIM registration with ID and biometric data required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,30,,,,,,
46,Côte d’Ivoire,Africa,ECOWAS,In force (Law No. 2013-450; ARTCI regulator),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (ARTCI operational),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (laws exist; no national COP strategy),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/cote-divoire/,No,https://www.unicef.org/cote-divoire/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised,https://www.humandignitytrust.org/country-profile/cote-divoire/; https://ilga.org/ilga-world-maps/,Yes (morality-based restrictions),https://ilga.org/ilga-world-maps/,Draft/Early (AI in Digital Plan 2021–2025),https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,46,,,,,,
65,Gambia,Africa,ECOWAS,Draft (bill pending),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,No,https://www.unicef.org/gambia/,No,https://www.unicef.org/gambia/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised,https://www.humandignitytrust.org/country-profile/gambia/; https://ilga.org/ilga-world-maps/,Yes (restrictions on LGBTQ expression),https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=GM; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,65,,,,,,
68,Ghana,Africa,ECOWAS,"In force (Data Protection Act, 2012)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Moderate (Data Protection Commission; limited capacity),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (general child rights; no COP framework),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/ghana/,Partial (digital literacy programs),https://www.unicef.org/ghana/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised,https://www.humandignitytrust.org/country-profile/ghana/; https://ilga.org/ilga-world-maps/,Proposed/Unclear (2021 anti-LGBTQ bill pending),https://ilga.org/ilga-world-maps/,Draft/Early (digital transformation program; no standalone AI strategy),https://en.unesco.org/artificial-intelligence/observatory/policies?country=GH; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (mandatory biometric SIM registration since 2021),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,68,,,,,,
72,Guinea,Africa,ECOWAS,In force (Law L/2016/037/AN on Personal Data Protection),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,"Weak (authority exists, limited independence)",https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Partial (general child protections),https://unctad.org/page/data-protection-and-privacy-legislation-worldwide; https://www.unicef.org/guinea/,No,https://www.unicef.org/guinea/,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Criminalised,https://www.humandignitytrust.org/country-profile/guinea/; https://ilga.org/ilga-world-maps/,Yes,https://ilga.org/ilga-world-maps/,,https://en.unesco.org/artificial-intelligence/observatory/policies?country=GN; https://www.unesco.org/ethics-ai/en/global-hub,No,https://unctad.org/page/data-protection-and-privacy-legislation-worldwide,Yes (biometric SIM registration required),https://www.gsma.com/solutions-and-impact/connectivity-for-good/public-policy/mobile-policy-handbook/consumer-protection/mandatory-registration-of-prepaid-sims/; https://privacyinternational.org/learn/sim-card-registration,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,72,,,,,,
